question_id,condition,system,anonymous_system_label,usable_real_provider_output,included_in_complete_pair,gold_fact_count,supported_count,partially_supported_count,not_supported_count,contradicted_count,unresolved_count,full_recall,partial_or_better_recall,missing_gold_rate,contradiction_rate,run_status,latency_ms,provider_attempted,provider_succeeded,fallback,gold_evidence_retrieval_recall,gold_evidence_citation_recall,citation_precision
tcmc-v1-076,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3249,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-076,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4010,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-077,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3876,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-077,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4248,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-078,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4409,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-078,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4831,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-079,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS_WITH_RETRY,7945,2,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-079,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3867,1,1,false,1.0,1.0,0.5
tcmc-v1-080,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3727,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-080,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4175,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-081,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3243,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-081,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3693,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-082,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3920,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-082,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4691,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-083,C1,Single-RAG,SYSTEM_A,false,false,1,0,0,0,0,0,,,,,FAIL_PROVIDER,8428,2,0,true,1.0,1.0,0.3333333333333333
tcmc-v1-083,C2,Multi-Agent,SYSTEM_B,true,false,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4380,1,1,false,1.0,1.0,1.0
tcmc-v1-084,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4413,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-084,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,30935,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-085,C1,Single-RAG,SYSTEM_A,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3139,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-085,C2,Multi-Agent,SYSTEM_B,true,true,1,1,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3301,1,1,false,1.0,1.0,0.3333333333333333
tcmc-v1-086,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3119,1,1,false,1.0,1.0,0.6666666666666666
tcmc-v1-086,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS_WITH_RETRY,4805,3,2,false,1.0,1.0,0.6666666666666666
tcmc-v1-087,C1,Single-RAG,SYSTEM_A,false,false,2,0,0,0,0,0,,,,,FAIL_PROVIDER,9403,2,0,true,1.0,1.0,0.6666666666666666
tcmc-v1-087,C2,Multi-Agent,SYSTEM_B,true,false,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS_WITH_RETRY,6803,3,2,false,1.0,1.0,1.0
tcmc-v1-088,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5841,1,1,false,1.0,1.0,0.6666666666666666
tcmc-v1-088,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3719,2,2,false,1.0,1.0,0.5
tcmc-v1-089,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4034,1,1,false,1.0,1.0,1.0
tcmc-v1-089,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4932,2,2,false,1.0,1.0,1.0
tcmc-v1-090,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4364,1,1,false,1.0,1.0,1.0
tcmc-v1-090,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3490,2,2,false,1.0,1.0,1.0
tcmc-v1-091,C1,Single-RAG,SYSTEM_A,true,true,2,1,1,0,0,0,0.5,1.0,0.0,0.0,PASS,3847,1,1,false,0.5,0.5,0.5
tcmc-v1-091,C2,Multi-Agent,SYSTEM_B,true,true,2,1,1,0,0,0,0.5,1.0,0.0,0.0,PASS,4433,2,2,false,0.5,0.5,0.3333333333333333
tcmc-v1-092,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3555,1,1,false,1.0,1.0,1.0
tcmc-v1-092,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5045,2,2,false,1.0,1.0,1.0
tcmc-v1-093,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4192,1,1,false,1.0,0.5,0.5
tcmc-v1-093,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3716,2,2,false,1.0,1.0,0.6666666666666666
tcmc-v1-094,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4008,1,1,false,1.0,1.0,0.6666666666666666
tcmc-v1-094,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5319,2,2,false,1.0,1.0,0.6666666666666666
tcmc-v1-095,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,3476,1,1,false,1.0,1.0,1.0
tcmc-v1-095,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,20107,2,2,false,1.0,1.0,1.0
tcmc-v1-096,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5187,1,1,false,1.0,1.0,1.0
tcmc-v1-096,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,7270,2,2,false,1.0,1.0,1.0
tcmc-v1-097,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4869,1,1,false,1.0,1.0,0.6666666666666666
tcmc-v1-097,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,14355,2,2,false,1.0,1.0,0.6666666666666666
tcmc-v1-098,C1,Single-RAG,SYSTEM_A,true,true,2,1,0,1,0,0,0.5,0.5,0.5,0.0,PASS,10418,1,1,false,1.0,1.0,1.0
tcmc-v1-098,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,7617,2,2,false,1.0,1.0,1.0
tcmc-v1-099,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4280,1,1,false,1.0,1.0,1.0
tcmc-v1-099,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4133,2,2,false,1.0,1.0,1.0
tcmc-v1-100,C1,Single-RAG,SYSTEM_A,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,4071,1,1,false,1.0,1.0,1.0
tcmc-v1-100,C2,Multi-Agent,SYSTEM_B,true,true,2,2,0,0,0,0,1.0,1.0,0.0,0.0,PASS,5339,2,2,false,1.0,1.0,1.0
